horizon_step,median,mean,VaR_1,CVaR_1,VaR_5,CVaR_5
0,0.013035097550364116,0.01176105353024573,-0.09756506243696332,-0.11906754076269302,-0.06683643490130799,-0.08754842748028033
1,0.011562393942910785,0.009714341461942303,-0.10172260805780296,-0.12133285742887609,-0.06897516959022514,-0.0918250101365863
2,0.008802351600685132,0.009505922006083547,-0.10763066239240353,-0.12429091649910484,-0.07063385682027133,-0.0929410837829453
3,0.013179012705390087,0.012169213654485247,-0.09798129010091429,-0.11827910249048212,-0.060766934269440055,-0.0836049508410241
4,0.008068437429462347,0.007018118278827899,-0.10516504342203134,-0.11294214019090909,-0.0697878204745777,-0.08949142952850016
5,0.009302085473458298,0.009256060159178374,-0.0926174081890298,-0.10593372952891486,-0.06883905443378414,-0.08411006849026798
6,0.012504399002191104,0.01168421283413002,-0.09845439183921766,-0.1092164150691759,-0.0663081813780721,-0.08596431870426759
7,0.009219936496471817,0.009245608545878728,-0.09584185566223348,-0.10664627382936001,-0.06612666758446813,-0.08250012059028392
8,0.009872214822226392,0.010585538479588378,-0.10305944018149073,-0.1152582933927782,-0.06946804415589854,-0.08912047595866315
9,0.012427232809964415,0.010774160285224555,-0.09892139726869695,-0.11284231884319695,-0.06830149651459518,-0.0869925810286989
10,0.012855694825925072,0.01160801928583613,-0.09497637591270916,-0.101740209026655,-0.0697664485913986,-0.08379844890202344
11,0.010725235688815102,0.009355619622292269,-0.09765665999771299,-0.1138936936848324,-0.0714603458163046,-0.08784876796324495
12,0.010962867800173779,0.010178408908623149,-0.1055371583453928,-0.1205076277956888,-0.06794713005442299,-0.09002894023780325
13,0.00856215198007508,0.008402421710217394,-0.09631938609991654,-0.10899705143345957,-0.06820413148625755,-0.08668292145933719
14,0.009158121410122313,0.008292878600373923,-0.09591260940918814,-0.1140735460608971,-0.06713910043493454,-0.08713296384224678
15,0.012174265688922246,0.010793911752527972,-0.09347921615652258,-0.11303602892141199,-0.07016937397843284,-0.0861850292764994
16,0.009350753634963682,0.009442210520813028,-0.09386718387681102,-0.10196443872062096,-0.0649593258513463,-0.08285038223522902
17,0.009067891025547696,0.00898360383114971,-0.09465977833636241,-0.1028238129975855,-0.06694732889494509,-0.08314731791280872
18,0.012574052167482187,0.012586306472752879,-0.1100915514831702,-0.12060774066777165,-0.06750813184447828,-0.0911616131531283
19,0.010284285455963145,0.011414558200334476,-0.09335205300490201,-0.10503128988179622,-0.05601354892661298,-0.07767376540779525
20,0.009714230116523899,0.009709949824977405,-0.09821074674491523,-0.10800814841674036,-0.06689821459363625,-0.08575551652875134
21,0.008762569859728836,0.007871855383636078,-0.10724527086650987,-0.11903671555904642,-0.07717114635793192,-0.0946760339863444
22,0.010351589456403614,0.009345184327637224,-0.1071822527527415,-0.1272872623488996,-0.06975838369047702,-0.09343910170653658
23,0.011308360676679263,0.010310642385911886,-0.09184062016867707,-0.10625923560020512,-0.0677486667196631,-0.08326387033631455
24,0.01076433325873712,0.010713437310957141,-0.09320621547656277,-0.12057594798143483,-0.06406459701209151,-0.08508235962198092
25,0.007914409458965536,0.008171073877286926,-0.10932088895172454,-0.1205699454151494,-0.06811994119855336,-0.0901089267637394
26,0.011403463580104758,0.011203251677783854,-0.09351358827394032,-0.1094154667627221,-0.06501947255113558,-0.08369304812547154
27,0.008238704860946178,0.008983071706978802,-0.09813034088106318,-0.11141360211586407,-0.06742463801789217,-0.08504145494267012
28,0.011863772838653142,0.013055847945461321,-0.0931263514121399,-0.09799895754530193,-0.06450252016332372,-0.08042057471256431
29,0.010420251025919102,0.010136436062624052,-0.10062468563570738,-0.11370475580053274,-0.07162427173268907,-0.09185059164247342
