horizon_step,median,mean,VaR_1,CVaR_1,VaR_5,CVaR_5
0,0.011214111041610665,0.012523272499353902,-0.13395579807185062,-0.175946120330356,-0.06362255065529947,-0.10179603283115059
1,0.011025305596084414,0.012007316888619142,-0.10689415132220148,-0.14338306418551974,-0.05825902163926036,-0.08883978961599456
2,0.01233337290916859,0.011027531948753186,-0.1160409526923193,-0.17257791803415218,-0.06269759954880702,-0.10040816865061335
3,0.010525062497171205,0.011145577544357542,-0.10747034302043945,-0.12956200917354696,-0.05718916758971334,-0.08256740521441552
4,0.010883604201960679,0.01132008809344784,-0.11174883873557018,-0.14934138357205165,-0.06295513056040798,-0.09345641564344292
5,0.008608009893519402,0.008080105557841522,-0.1182283828226274,-0.17046104969518117,-0.0655424210215121,-0.10061738749026589
6,0.009231260833958452,0.008924576467344018,-0.12015171924367678,-0.16384681309748952,-0.05952822932191708,-0.09959653940902849
7,0.010523388484198648,0.009370255635683182,-0.13790678336019394,-0.17301313430364548,-0.06855874778535662,-0.1119220621873781
8,0.010344020791295422,0.011216450364969559,-0.10116564944405584,-0.17173570352758688,-0.0630556229111175,-0.0967975150638837
9,0.011893624859715114,0.010931919314627033,-0.1286256789850861,-0.18532550960543637,-0.0629709831192185,-0.11010714434688343
10,0.011218455369031047,0.013309201754260112,-0.09614248452630077,-0.13257280486306586,-0.055105352137884145,-0.08389422706577437
11,0.006283636527299139,0.009157715565459067,-0.11004920591198629,-0.13782246491180333,-0.058306434735033615,-0.08686512494279418
12,0.00834505703273833,0.010177344333765282,-0.1084321846241179,-0.13397723561189218,-0.05785277192704613,-0.08699510478014974
13,0.012366120768060413,0.009838890529384275,-0.12021798891502675,-0.18895620285818135,-0.06249942614956734,-0.10370591927727353
14,0.011546609271835453,0.012478015444014338,-0.09642043932193844,-0.130585761342853,-0.05866691810010649,-0.08516851832494185
15,0.00793239854977455,0.00915733017872405,-0.11462139787210579,-0.1581225838323517,-0.06566697548557789,-0.10072271055850351
16,0.009605299326103633,0.010159623144985789,-0.11489622906029147,-0.1657662438161383,-0.06669503902443202,-0.10148718313328739
17,0.008088843461971367,0.00951550034686554,-0.11042526746177449,-0.17671680371051862,-0.05379065924541474,-0.09538838818971782
18,0.010773391160701189,0.010874084730989558,-0.11325245824683983,-0.14838913044988006,-0.057753025658562496,-0.09197335166354074
19,0.011547283695147185,0.011204043980867483,-0.10861191054563929,-0.13177730709870117,-0.06341868669949756,-0.09173015753985546
20,0.010390514346553867,0.011748684566056405,-0.10547606560478998,-0.14047849869468815,-0.05683987419694368,-0.0880257909693854
21,0.009924456846973698,0.010535044332242803,-0.10477772275131714,-0.14363671380625864,-0.05788987083553579,-0.08769873839906578
22,0.007191409387472179,0.006168296290679725,-0.13448705967746227,-0.19273586241914326,-0.0637985700507265,-0.10971970875762362
23,0.008782678873867852,0.009232279287867722,-0.12221323598086983,-0.19599708532530344,-0.05688239555388191,-0.10521214185026898
24,0.013260937652393175,0.011877767680631483,-0.11595092132746682,-0.22981431875163771,-0.05609949884822622,-0.1092478296320368
25,0.011499477904043674,0.01180502881903646,-0.12173110352554896,-0.145015104884387,-0.05630349021423094,-0.0908150046258967
26,0.01221901366247565,0.011698447784489863,-0.11832559141774573,-0.16170732332632246,-0.05497981746004759,-0.09416355598099078
27,0.011112309138616515,0.00952799831783092,-0.11997297518870177,-0.15461560944248048,-0.06307272193514453,-0.09728196784173573
28,0.008574167421990075,0.010479036142813524,-0.10554566546572229,-0.15254751360410443,-0.06271553371690572,-0.09785823974859822
29,0.010235855068438549,0.010659993990111645,-0.120267465218743,-0.14852967088035593,-0.0602950561903758,-0.09547420801933168
